dLoss,Iteration,Total cost,Entropy,AverageReturn,NumTrajs,StdReturn,ExplainedVariance,LossAfter,MeanKLBefore,LossBefore,Perplexity,MeanKL,AverageDiscountedReturn,MaxReturn,AveragePolicyStd,MinReturn
968.298290028,11,260.0195600126158,0.948039693884,-243.112403443,109,25.9438649409,0.904530090115,-968.298290029,0.0,-6.84735823597e-10,2.58064584179,0.00934959909476,-158.765816657,-185.625688944,0.624440744066,-307.852076279
865.877685989,12,250.29023790481588,0.919051522219,-236.532089491,109,26.9048166528,0.89982877988,-865.877685989,0.0,-4.03872491006e-11,2.50691151209,0.00666734941135,-154.781740132,-168.514559105,0.606599194886,-302.744122794
884.481629431,13,256.58115389875724,0.881088299661,-245.434097902,109,25.6896743411,0.910323942814,-884.481629431,0.0,-1.23009158415e-10,2.413524916,0.00726832208825,-160.008793344,-165.715653661,0.584002372569,-300.664584985
737.72230926,14,250.03057094404085,0.862586848052,-235.954674399,109,21.7282128979,0.918405325711,-737.72230926,0.0,-6.13962214402e-11,2.36928174504,0.0067731372997,-154.103690731,-182.645425718,0.573296820438,-295.283272602
637.348608854,15,250.68423206704105,0.842347591972,-239.205725508,109,22.4562338079,0.928589135991,-637.348608853,0.0,4.57020865596e-10,2.32181124926,0.00988202200164,-156.562664178,-183.997416329,0.561810350181,-295.708910453
948.646559213,16,252.34054864570282,0.827369112334,-242.854109517,108,22.8572379464,0.931615702039,-948.646559214,0.0,-3.58596707883e-10,2.287293206,0.00896324632247,-158.804828988,-197.379860953,0.553457994244,-310.239999448
831.88910873,17,248.00524984541883,0.806485151311,-237.63765323,109,20.2549550942,0.939755309383,-831.88910873,0.0,5.62522473047e-10,2.24002079949,0.00634583480341,-156.08984493,-186.776166652,0.542019455791,-290.568787534
689.492696005,18,244.28903743210557,0.800756638676,-233.44039161,109,18.6159768185,0.935616982096,-689.492696006,0.0,-2.60229171545e-10,2.22722549606,0.00648575825767,-153.26127527,-171.655044293,0.538923366949,-275.566590312
805.960294241,19,245.6438946224417,0.774506095156,-233.202580719,109,19.7333352829,0.933913342679,-805.960294241,0.0,2.80579115497e-10,2.16952032592,0.00766568439817,-152.738841502,-174.241222971,0.524960405123,-285.739711759
1094.85975373,20,235.93564819447604,0.753236441654,-223.847526993,109,20.6176283766,0.927164877532,-1094.85975373,0.0,-3.19971604767e-10,2.12386266294,0.00751317416163,-148.137848049,-149.00139232,0.51391258733,-271.516735362
948.74450418,21,232.88055795697542,0.747839368437,-218.801863837,109,27.9596573694,0.877588027728,-948.744504179,0.0,8.15020939626e-10,2.11243089743,0.00676818480519,-144.498297558,-142.336525428,0.511146434747,-284.759219468
1263.23465003,22,227.0690759307942,0.747846483334,-211.734471251,109,23.597147148,0.899963125392,-1263.23465003,0.0,-3.25258042722e-10,2.11244592721,0.00993348746234,-140.757262472,-150.164992571,0.511150071514,-266.004352169
996.484493939,23,224.97099829452847,0.723940317833,-210.63635611,109,26.4631398029,0.884083531043,-996.484493939,0.0,6.33505692349e-10,2.0625443001,0.00641845422696,-139.585967927,-146.634647364,0.499075338648,-286.238826784
613.759758545,24,225.21520833992906,0.723576911749,-210.437586124,109,25.7814715928,0.892814102725,-613.759758545,0.0,4.85727014166e-11,2.06179489513,0.00844561487317,-140.519568457,-116.151110223,0.498894004585,-285.799123152
1125.13539645,25,225.97501164365872,0.711529444531,-209.874483653,109,25.2927382373,0.897185871739,-1125.13539645,0.0,-8.63877858137e-11,2.03710451562,0.00709422240852,-140.200493329,-132.476315848,0.492919655567,-265.156743483
705.650628822,26,220.9176082754092,0.703530329618,-204.867847676,109,21.9531575666,0.911980180722,-705.650628821,0.0,2.20495621761e-10,2.02087448201,0.00737010783465,-138.146088903,-130.39594784,0.488992462573,-259.558040148
