MaxReturn,AverageReturn,AverageDiscountedReturn,MinReturn,Total cost,AveragePolicyStd,MeanKLBefore,dLoss,Perplexity,StdReturn,LossAfter,MeanKL,Entropy,LossBefore,Iteration,ExplainedVariance,NumTrajs
-100.73604522,-158.421259183,-109.836913094,-274.373107195,180.745586625037,0.878628281208,0.0,4.07295332727,3.63113464637,29.989151362,-4.07295332727,0.0076507776562,1.28954517419,-3.33182696285e-15,17,0.788611338619,204
-97.8265560356,-150.669299019,-104.723098974,-247.323746589,176.59491787870928,0.880926113804,0.0,23.9662437823,3.64063097118,29.1154789566,-23.9662437823,0.00345145534481,1.29215701036,2.27035882456e-14,18,0.740829670069,204
-101.613921505,-154.356689113,-106.280859169,-261.077956284,180.18090918004253,0.880043003641,0.0,3.57125274806,3.63698131412,31.3632220663,-3.57125274806,0.00637483862617,1.29115402827,1.3580312241e-14,19,0.736171624267,204
-95.6055687166,-145.791553086,-101.254784484,-233.086484796,174.04799668979115,0.864489272649,0.0,0.954413413927,3.57270192238,26.5159689347,-0.954413413927,0.00386943412551,1.27332215053,8.66544070943e-15,20,0.745965636201,204
-93.2556655581,-147.125285056,-101.849468132,-231.539973955,175.47546250915414,0.856343218304,0.0,10.3740620207,3.53903646817,29.8199789928,-10.3740620207,0.00694128762661,1.26385450597,-2.22418583412e-16,21,0.730265136557,204
-90.3192645579,-143.907065938,-100.087330533,-241.328088076,172.11782786995306,0.835888551986,0.0,9.05505601236,3.45450282735,27.2772929725,-9.05505601236,0.00385903720268,1.2396785474,-8.1799126192e-14,22,0.757298507442,204
-87.3081847593,-142.538934357,-98.8251488563,-233.537914485,171.5041736751817,0.835382330354,0.0,24.9061808296,3.45241074933,29.7452006825,-24.9061808296,0.00430817769679,1.23907275494,-8.48292475941e-15,23,0.72161929434,204
-90.0145632357,-136.698138998,-95.7213789941,-230.63090246,166.04267573944458,0.837106852939,0.0,3.00477394859,3.45953773789,23.7440673649,-3.00477394859,0.00807735492414,1.24113497838,1.41071579352e-14,24,0.756822883362,204
-93.129752973,-139.126981476,-97.7476556589,-246.710796716,167.3880616599132,0.830267613864,0.0,3.67826890516,3.43127300013,26.8410059312,-3.67826890516,0.00905223833028,1.23293132939,-7.47145664387e-15,25,0.758022774622,204
-89.8834412282,-135.659950823,-96.1757730345,-235.879778133,164.47945840330587,0.798201773416,0.0,19.9850269023,3.29875349591,25.3091013346,-19.9850269023,0.00628981615569,1.1935446686,5.70252837934e-14,26,0.776473627341,204
