LossAfter,NumTrajs,MinReturn,AverageDiscountedReturn,Entropy,StdReturn,dLoss,MeanKLBefore,Perplexity,ExplainedVariance,Iteration,AveragePolicyStd,LossBefore,MeanKL,AverageReturn,MaxReturn,Total cost
-0.0510551581369,204,-311.87133861,-145.342004581,1.36297496833,20.853747266,0.0510551581369,0.0,3.9078016121,0.911210261299,11,0.945573587358,-1.17017421841e-16,0.00127266274332,-224.570446704,-174.447734852,236.71079585989702
-0.069560715935,204,-282.599269891,-146.281045308,1.36281929058,19.1888826355,0.069560715935,0.0,3.90719330167,0.924339713502,12,0.945426394041,1.00323380625e-16,0.00231081054621,-226.42227391,-178.594572685,238.86155953419632
-0.0262266749031,204,-303.039579605,-144.676101952,1.37179215458,22.7609748557,0.0262266749031,0.0,3.94240977584,0.905046850517,13,0.953947749812,1.40262904979e-16,0.00337341849847,-223.276154966,-164.067188944,234.17959729151372
-0.14823180429,204,-279.931793885,-144.093838052,1.37107590999,20.1252685115,0.14823180429,0.0,3.93958705717,0.914232246304,14,0.953264734531,-4.30266646561e-17,0.00454189936447,-223.208615861,-172.633319556,234.43439156511587
-0.026602297874,204,-298.18144553,-141.669721081,1.35576810082,22.427969219,0.026602297874,0.0,3.87973984378,0.900449096633,15,0.938783460946,-1.70818967958e-16,0.00903354905239,-218.705021005,-166.452650235,230.1797792207309
-0.0300551956493,204,-284.325458856,-138.514216855,1.36905607783,23.567192514,0.0300551956493,0.0,3.93163778335,0.882422792229,16,0.951341242983,8.58172308439e-17,0.00650741594279,-211.691497656,-144.87109332,220.8523348571766
-0.0678153015653,204,-277.999242885,-134.370065671,1.35971075354,26.724510186,0.0678153015653,0.0,3.89506650465,0.857661527211,17,0.94249206418,1.78332756575e-16,0.00449211412611,-203.682275693,-141.741746891,214.15691159186127
-0.0119602582918,204,-271.842807804,-132.507967145,1.34099737606,30.0975977463,0.0119602582918,0.0,3.82285442806,0.836699924871,18,0.92501885569,1.76845986098e-16,0.0041650347202,-200.307396687,-143.793211608,211.22147686269432
-0.0991158078231,204,-265.440289177,-131.209724269,1.3388532334,28.7329385132,0.0991158078231,0.0,3.81466646402,0.844078688481,19,0.923037608098,-8.36963728596e-17,0.00390653064295,-198.376864865,-136.75281963,210.5130096663101
-0.100237238965,204,-263.548204919,-127.249002669,1.32677709307,29.488165765,0.100237238965,0.0,3.76887705263,0.836254474847,20,0.91195791105,9.73904340967e-17,0.00422013445354,-190.477357201,-124.290940676,203.70696577513198
-0.0340073911949,204,-259.740085719,-121.352366467,1.30942646018,27.2116428489,0.0340073911949,0.0,3.70404868347,0.830048847404,21,0.896271343593,1.83426434132e-16,0.000673739729472,-179.484251731,-124.359271458,193.77631664309735
-0.00143354981125,204,-265.218744629,-121.485016421,1.30904026552,29.1482142912,0.00143354981125,0.0,3.70261847584,0.826348113545,22,0.895925275216,-6.48963330909e-17,0.00687193147908,-180.354642474,-126.759448656,194.58932962482396
-0.0634517239817,204,-248.463020021,-115.197288756,1.28620813674,28.6867599252,0.0634517239817,0.0,3.61903760942,0.79057921694,23,0.875701152414,-8.41782764134e-17,0.00259737428289,-168.760950367,-105.877435978,185.12419771331247
-0.0663617987505,204,-237.123868392,-111.20904907,1.26584165298,26.3690993433,0.0663617987505,0.0,3.54607604593,0.813204187009,24,0.858046590035,-9.60468391904e-18,0.00480150438116,-161.673925763,-99.7712975126,178.9225566131732
-0.0937171238224,204,-248.577821346,-111.857350072,1.27528490026,28.5878394163,0.0937171238224,0.0,3.57972112831,0.796980826055,25,0.866187714994,-1.11266965498e-16,0.00295108006108,-163.31380435,-108.936746216,181.07019143112345
-0.0936781188752,204,-232.022352531,-111.518877596,1.27817734069,30.0150758892,0.0936781188752,0.0,3.59009024723,0.770205889084,26,0.868696738213,1.08350287858e-16,0.00314260101353,-163.790944837,-100.872094404,182.2164824924677
