Iteration,AverageReturn,AveragePolicyStd,ExplainedVariance,dLoss,NumTrajs,MinReturn,LossAfter,MaxReturn,MeanKLBefore,Entropy,AverageDiscountedReturn,Total cost,StdReturn,LossBefore,Perplexity,MeanKL
17,-271.553987677,0.891042817179,0.908027640986,0.019685087334,404,-340.652572818,-0.019685087334,-177.96375714,0.0,1.30357573573,-175.556271432,330.0946119378577,33.0191075523,7.96462069546e-18,3.68244058842,0.00166676930919
18,-274.463511514,0.880138180072,0.911760789587,0.00852252393918,404,-347.68349722,-0.00852252393918,-167.387402582,0.0,1.29126217218,-177.813889678,329.73299227367875,33.0968372749,9.02188742439e-18,3.63737465274,0.000398404388957
19,-271.42568813,0.875320710986,0.911041653556,0.0128529496124,403,-339.071910141,-0.0128529496124,-194.785265969,0.0,1.28577360027,-175.624608154,328.0302551772155,32.7045285231,-1.19779357273e-16,3.6174653472,0.00067099467136
20,-271.669607048,0.873871962515,0.907122650472,0.020508064956,403,-351.146461359,-0.020508064956,-174.292729578,0.0,1.28411712317,-175.959563504,325.98718292716853,33.1573841844,1.23137806033e-16,3.61147805897,0.00105691438072
21,-271.636734886,0.865401760833,0.908078023443,0.0105508703225,404,-333.019631766,-0.0105508703225,-166.429043203,0.0,1.27437711672,-176.016733418,324.8220052306854,32.2955864697,8.98882770808e-17,3.57647299091,0.000969210039693
22,-267.881036281,0.861492758585,0.908061616922,0.0165482588627,404,-347.943414847,-0.0165482588627,-187.96419706,0.0,1.26984990457,-173.368454914,321.76712116582183,31.1581597354,-3.16993086752e-17,3.56031813475,0.00146408087321
23,-260.100005668,0.856498795653,0.897478989148,0.0353565452327,404,-340.529023395,-0.0353565452327,-173.866971451,0.0,1.26403616586,-168.76833652,313.3002604808651,32.5083207858,-2.08059360822e-18,3.53967942756,0.00142065985869
24,-262.52935555,0.8510940041,0.908198240641,0.0311485063982,404,-330.832537735,-0.0311485063982,-173.289796361,0.0,1.2577058398,-170.020582406,314.47116110912265,30.1697576626,1.00770278839e-16,3.51734287605,0.00165618403403
25,-263.135468688,0.845314666104,0.898974903011,0.0013403795475,404,-342.851315959,-0.0013403795475,-174.187663967,0.0,1.25089219818,-170.579518721,311.8425132506188,33.9448074295,-5.75413706097e-17,3.49345842471,0.00164926359299
26,-266.611174622,0.83712070099,0.912728990967,0.0285280475005,404,-332.7349361,-0.0285280475005,-174.787425601,0.0,1.24115152099,-172.452877615,312.71626414622546,30.7667379504,1.06717896214e-16,3.45959496817,0.000934220296636
