AverageDiscountedReturn,MaxReturn,Total cost,dLoss,MeanKLBefore,Entropy,AverageReturn,Perplexity,NumTrajs,StdReturn,ExplainedVariance,MinReturn,LossAfter,Iteration,AveragePolicyStd,LossBefore,MeanKL
-90.5815977692,-84.1156087329,171.55127178777656,0.109028375622,0.0,0.434187802456,-126.63725211,1.54370875319,104,22.8643105411,0.760219731668,-222.575232085,-0.109028375622,45,0.373532325456,-5.48414196028e-16,0.00628278930072
-89.3828349295,-79.0405995267,166.97963508019842,9.05470031875e-05,0.0,0.442368313642,-124.189367779,1.55638887414,104,24.0057194889,0.756029100093,-227.782605111,-9.05470031876e-05,46,0.376600543508,-1.00977528559e-16,0.00649866488905
-88.9366224108,-83.0062164917,166.50798376758138,0.281070096743,0.0,0.47401090753,-123.770837279,1.60642450905,104,21.5805073767,0.776134623588,-232.023571128,-0.281070096743,47,0.388707702341,9.47293288133e-16,0.00732396772945
-89.7086854429,-81.9009676751,166.69213188791207,0.281706396498,0.0,0.449983678261,-123.516612879,1.56828658812,104,19.937521098,0.780069134964,-179.185568043,-0.281706396498,48,0.37947944198,1.01274568933e-15,0.00566597439262
-86.9989407946,-78.7215643674,162.42363369202434,0.127077209738,0.0,0.430570028984,-118.663721924,1.53813405469,104,23.342866044,0.740766509744,-225.029040513,-0.127077209738,49,0.372183411622,8.17104323874e-16,0.00647370945433
-87.4515950728,-77.6698269466,167.29712821430581,0.115433404317,0.0,0.414195577827,-121.218506293,1.51315303713,104,18.8460644071,0.76321027369,-163.565187889,-0.115433404317,50,0.366138736703,-7.92527955591e-16,0.00311120936072
-89.8958371156,-77.9333001788,171.9052941636984,0.142531008564,0.0,0.419766723266,-125.375553787,1.52160655881,104,25.6643547831,0.727628064271,-216.860371087,-0.142531008564,51,0.368184241467,-7.75711062487e-16,0.00674503241302
-89.3303758177,-81.153111699,169.53904311828757,0.193666155309,0.0,0.427554611873,-123.705788142,1.53350292485,103,23.989663374,0.752415522644,-221.20352696,-0.193666155309,52,0.371062813778,-7.46665433586e-16,0.00779780442261
-89.6442640521,-82.5176775348,170.17181005691566,0.203247554644,0.0,0.455903668242,-124.376123541,1.57759836462,104,22.0509297728,0.762902904603,-214.219674907,-0.203247554644,53,0.381732619288,-8.49759296906e-16,0.00941825914869
-90.9783672876,-85.7935977742,166.20319067630717,0.123865542708,0.0,0.485477344364,-126.748890403,1.6249504847,104,21.7400698049,0.777859533109,-224.709926362,-0.123865542708,54,0.393190446091,-4.5690155506e-17,0.00531006146625
