MinReturn,Total cost,StdReturn,LossBefore,Iteration,ExplainedVariance,Perplexity,AverageReturn,NumTrajs,AverageDiscountedReturn,MaxReturn,Entropy,LossAfter,MeanKL,dLoss,MeanKLBefore,AveragePolicyStd
-279.895642488,232.015260537314,21.1293705941,-1.18871801291e-10,28,0.896764484417,3.92794218561,-212.957058289,204,-140.097524897,-162.145621564,1.36811567185,-1171.09948307,0.00766408900969,1171.09948307,0.0,0.950447016522
-276.031106128,227.79947478621526,22.8670430792,6.8998362579e-11,29,0.891565709841,3.90535556389,-211.449953542,204,-139.969692831,-150.214226714,1.36234883264,-953.649745537,0.00738892501853,953.649745537,0.0,0.9449817153
-295.935236309,229.94681640802827,26.0531556675,-1.15942810908e-11,30,0.870093980149,3.91867133491,-213.948244957,204,-142.002499199,-158.180476956,1.36575265117,-671.106634007,0.00716270076526,671.106634007,0.0,0.948203742061
-293.596192482,230.21917897613395,27.0353740438,1.40022438089e-11,31,0.867916810805,3.9433442269,-213.975158727,204,-141.310423736,-151.324160381,1.37202915185,-802.87916884,0.00696154141318,802.87916884,0.0,0.954173859611
-297.938162799,231.02050657030017,26.9977367278,4.99813523902e-11,32,0.874261378529,3.94548137701,-216.47882547,204,-142.70743102,-160.376024881,1.37257096891,-924.942420076,0.00948654762591,924.942420076,0.0,0.954690987371
-275.33967506,221.1215544944729,26.7968246679,1.25081889291e-11,33,0.856792932115,3.95661401539,-206.456657198,204,-135.940060527,-133.244353161,1.37538861289,-1061.34885408,0.00929583463952,1061.34885408,0.0,0.957384759946
-271.048995713,223.38620573603467,27.6472818021,-1.06326503158e-10,34,0.855365158976,3.94927053716,-207.655091747,204,-136.317392438,-139.260069734,1.37353088772,-658.96449708,0.00554318322728,658.96449708,0.0,0.955607853198
-283.454718106,218.19879587559376,27.7144206089,1.29124488879e-11,35,0.843421026437,3.96159637115,-201.220540659,204,-133.065525568,-130.540736613,1.37664706806,-795.500073525,0.0062918598585,795.500073525,0.0,0.958590344179
-272.244531428,221.00794157483983,27.3612341402,-7.96473997866e-11,36,0.861383939716,3.96503331089,-204.036997399,204,-136.401007168,-147.600398099,1.37751425628,-922.261784065,0.00896916700464,922.261784065,0.0,0.959421982978
-264.760746662,215.2350409284038,25.8201638349,8.63351612423e-11,37,0.857733171804,3.96707105058,-199.348168216,204,-132.866437305,-144.667326724,1.37802805178,-805.95586569,0.00640325930216,805.95586569,0.0,0.959915056329
-264.102357723,218.82066372203127,25.0655489076,-2.02919792081e-10,38,0.864089118946,3.95530888463,-203.187495161,204,-135.347925017,-141.20492888,1.37505869795,-893.644011057,0.00771259823631,893.644011056,0.0,0.95706895651
-274.588508278,220.3092491319363,28.1758975819,-3.67910146792e-11,39,0.855917185629,3.93171290949,-205.527370753,204,-136.602707749,-137.018798889,1.36907518576,-897.074777235,0.00826808626434,897.074777235,0.0,0.951359421311
-296.539030086,226.31785217950645,35.3363842314,-6.82278677999e-11,40,0.818406262162,3.86647728283,-212.129418193,204,-139.338526068,-140.082663309,1.35234382967,-935.718674488,0.00992893193055,935.718674488,0.0,0.935574309464
-278.144008758,212.35165774992544,26.9396560358,-5.54556955912e-11,41,0.825751572385,3.78861478214,-197.860269117,204,-131.854307947,-144.36742796,1.33200045945,-752.2840039,0.00609740821137,752.2840039,0.0,0.916733863759
-288.293606731,220.09731771958442,28.2178054007,4.21542800666e-11,42,0.853877529601,3.79944995364,-205.487565641,204,-135.752256729,-137.153069293,1.33485630721,-773.794196328,0.00652014451168,773.794196328,0.0,0.919355658056
-275.900390023,209.54785031742355,30.0804637609,-4.34896563206e-12,43,0.824310672733,3.80716678743,-194.613556803,204,-129.341133753,-125.312585749,1.33688528717,-846.808028033,0.00829631658532,846.808028033,0.0,0.92122290592
-290.933417626,211.2809250907424,31.6615923804,-7.81162357022e-11,44,0.822792538477,3.79964957073,-196.474752329,204,-130.396900784,-107.724130298,1.33490884425,-812.202676247,0.0079433098602,812.202676247,0.0,0.919403959549
-250.83820946,203.01802361870944,27.0206482104,9.94166970969e-11,45,0.839472803638,3.77795188529,-185.966404187,204,-125.649620574,-130.643395574,1.3291820335,-1097.52242493,0.0085820253408,1097.52242493,0.0,0.914153754882
-255.786573655,203.06146230419418,29.2429132351,-8.08313416201e-11,46,0.811756325186,3.79014776179,-186.082399433,204,-124.413139726,-112.532983571,1.33240500561,-980.202354703,0.009204436949,980.202354703,0.0,0.917104799955
-250.449321838,200.46384166480956,25.978774657,6.79989398122e-11,47,0.848228203576,3.72522220489,-183.031980475,204,-123.172636466,-127.397874785,1.31512650237,-1086.3516812,0.00804039874477,1086.3516812,0.0,0.901394715911
-237.316670542,195.7500448975655,24.9983558255,1.70652159071e-10,48,0.839253695228,3.70189538067,-175.715221008,204,-118.671207474,-119.436634094,1.30884495353,-1112.87567212,0.00905132291136,1112.87567212,0.0,0.895750307355
-248.100375656,198.04774231496944,25.1584801337,-9.23713883161e-11,49,0.850991072288,3.71345623277,-179.48568928,204,-120.916508444,-129.631310154,1.31196304208,-868.886576551,0.00634552821529,868.886576551,0.0,0.898547695113
-251.394931525,199.99730771894173,26.3672470174,2.43407516365e-11,50,0.843147440415,3.71567980392,-181.088667618,204,-122.053787269,-127.932679149,1.31256165037,-1187.50097841,0.00986552431646,1187.50097841,0.0,0.899085734235
-252.204050849,198.8276322601556,27.1805664629,5.98099347826e-12,51,0.835341110707,3.65381943844,-181.176911059,204,-120.853570653,-122.483369393,1.29577304197,-1184.50566676,0.00882230882148,1184.50566676,0.0,0.884117336781
-252.059305421,193.48858352402013,26.6688351748,-1.14756204539e-10,52,0.807694507823,3.58708596126,-173.424625567,203,-117.050222117,-117.084510877,1.27734016293,-861.091357403,0.00683909218618,861.091357403,0.0,0.867969788959
-257.087136112,190.83052719566697,28.7127030782,-2.4933388687e-11,53,0.792666922913,3.57601122113,-171.01711258,204,-115.644523569,-106.388301398,1.27424799521,-856.303987829,0.00655644931482,856.303987829,0.0,0.865290026067
