AverageReturn,StdReturn,AveragePolicyStd,LossBefore,NumTrajs,Perplexity,AverageDiscountedReturn,MeanKLBefore,ExplainedVariance,dLoss,LossAfter,MeanKL,Total cost,Entropy,MaxReturn,Iteration,MinReturn
-284.737456384,27.847654747,1.04102626026,1.20587539953e-10,204,4.30228186622,-184.267144252,0.0,0.9348288533,779.476071373,-779.476071373,0.00847233441347,289.09103398654594,1.45914554851,-178.82887597,10,-335.884655007
-286.638530968,28.3874909,1.04044821128,-1.06718300863e-10,204,4.29989294509,-185.007227186,0.0,0.933562258598,836.062984166,-836.062984167,0.00707617752576,290.09076126723835,1.4585901259,-186.270783627,11,-343.538732672
-272.932544213,29.3323506714,1.06841901759,6.79159783967e-11,204,4.41548877333,-176.172479826,0.0,0.916117486142,929.338185615,-929.338185615,0.00913859211704,276.8661497678361,1.48511853536,-183.194042537,12,-331.518425187
-261.074587982,28.9248683803,1.06230698498,-4.02047284354e-11,204,4.39022938452,-168.962395197,0.0,0.913213955327,795.739927932,-795.739927932,0.00760869014018,264.7602214306843,1.47938147732,-174.069323733,13,-320.218982927
-260.609067153,26.2543089097,1.06104796854,1.51342938182e-10,204,4.38502620782,-168.706668509,0.0,0.924860551206,895.405399209,-895.405399209,0.00883179588781,264.60013654933243,1.4781956025,-172.942836461,14,-316.662543637
-256.852696357,27.4177528717,1.05914615838,1.40869538257e-11,204,4.37716653735,-165.923022492,0.0,0.917192198052,620.690742411,-620.690742411,0.00595328245161,261.79881832284167,1.47640160577,-202.266779687,15,-319.857015859
-262.348655835,25.7848674166,1.058169206,5.94137516963e-11,204,4.37312905561,-170.905270519,0.0,0.927382549459,790.875154824,-790.875154824,0.00713537330506,266.175594676405,1.47547878391,-190.730345527,16,-322.238162886
-262.024781938,27.0570047037,1.03766294507,-1.39021016921e-10,204,4.2883821881,-170.807835801,0.0,0.925850207062,819.592237259,-819.592237259,0.00787502866859,265.53623669073824,1.45590954949,-177.902702558,17,-320.930632952
-253.646789763,28.2074593377,1.02714363628,1.49416673478e-10,204,4.24490871083,-165.110035272,0.0,0.909359343947,1044.25609025,-1044.25609025,0.0098610749982,256.77066689214956,1.44572031443,-167.921692767,18,-324.789785315
-245.626578254,23.8962613973,1.02922713863,5.54383206008e-11,204,4.25351926633,-159.326386272,0.0,0.913725751665,1181.10974692,-1181.10974692,0.00914759454092,251.22303867518983,1.44774670295,-182.536428435,19,-321.93615356
-242.686797751,22.3707998569,1.02682864693,-5.77738967777e-11,204,4.24360694449,-157.273244931,0.0,0.927404599832,1206.57308494,-1206.57308494,0.00879392966606,248.88109203694458,1.44541360206,-177.360829406,20,-300.182912026
-237.332411162,21.7056400199,1.01604732987,-1.05418840324e-10,204,4.19905065742,-154.745803309,0.0,0.930367777518,912.906696979,-912.906696979,0.00615046085391,244.88574871503064,1.43485846579,-187.215787535,21,-304.678267378
-236.172556272,23.5343570928,1.02536704407,-1.42793998847e-10,204,4.23756653251,-154.079797805,0.0,0.918829607023,1070.50511179,-1070.50511179,0.00730909720319,242.8052541144739,1.44398917347,-173.824461243,22,-310.284785426
-231.29720784,22.327804941,1.01489314868,-1.54264073737e-10,204,4.19428073665,-151.144251383,0.0,0.917188531295,1402.09655087,-1402.09655087,0.00893060126121,240.15347525519803,1.43372186792,-174.636909123,23,-289.305319126
-232.441364192,20.022921961,0.990396628876,-5.79087888752e-11,204,4.09304320117,-151.656010458,0.0,0.92944693626,949.613213735,-949.613213735,0.00641096353605,241.68296155995154,1.40928875235,-174.155733615,24,-291.574827834
-232.667924383,16.6169547906,0.978688426948,-1.53814294634e-10,204,4.04465634797,-151.524885195,0.0,0.94499394094,1785.35636594,-1785.35636594,0.00950121708141,243.32950331025705,1.39739658966,-178.601186239,25,-284.529418924
-231.287673324,19.2993885112,0.985013361163,-2.45528042342e-11,204,4.07079560191,-150.974423257,0.0,0.926030247217,1436.24118683,-1436.24118683,0.00885118699355,242.20236221398295,1.40383845994,-172.403559983,26,-280.487024196
