dLoss,AveragePolicyStd,Perplexity,ExplainedVariance,Iteration,MaxReturn,NumTrajs,AverageReturn,LossBefore,MinReturn,MeanKLBefore,Entropy,LossAfter,AverageDiscountedReturn,StdReturn,MeanKL
13.700127968,1.02824944295,4.24947871273,0.917880906529,19,-1205.60866471,34,-1408.75094632,-500.0,-1536.35267009,0.0,1.44679631959,-513.700127968,-292.997262313,101.141379946,0.0078197903536
26.9645030063,1.01550802098,4.19682183868,0.928744312832,20,-1218.09472129,34,-1437.09806518,-500.0,-1567.89844057,0.0,1.43432753377,-526.964503006,-292.682499417,93.440438992,0.00916609981496
19.4825231716,1.0307500773,4.25981316274,0.933250769091,21,-1268.36080989,34,-1477.27260711,-500.0,-1605.68477344,0.0,1.44922530081,-519.482523172,-307.292111473,83.2140324112,0.00973603427295
15.720842415,1.04142570349,4.30393265782,0.904208369769,22,-1035.19287814,34,-1434.15921869,-500.0,-1559.79682407,0.0,1.45952917632,-515.720842415,-299.426410984,107.499757646,0.00653352091872
16.5831384826,1.04470093764,4.31746832065,0.900045070493,23,-1149.94286834,34,-1373.45014115,-500.0,-1523.2726203,0.0,1.46266919358,-516.583138483,-287.944792235,88.9916830215,0.00772808157102
15.016546878,1.03969308787,4.29677222289,0.89095708419,24,-1137.49500728,34,-1404.61355317,-500.0,-1588.80419846,0.0,1.45786409498,-515.016546878,-294.110652039,113.965048526,0.00546081481529
9.66680810146,1.04649469621,4.32488144294,0.867093243428,25,-1065.77126972,34,-1289.84733277,-500.0,-1557.91182277,0.0,1.46438472797,-509.666808101,-281.381022865,130.900833645,0.00837959220625
15.4189043519,1.05020586201,4.34021869421,0.88415528333,26,-1122.50081302,34,-1311.13887051,-500.0,-1590.16027983,0.0,1.46792473721,-515.418904352,-279.927059033,113.534529058,0.00804849813034
14.5585697162,1.05039344667,4.34099393121,0.871249555185,27,-1096.57288049,34,-1322.12726964,-500.0,-1561.8617218,0.0,1.4681033383,-514.558569716,-284.864837561,128.217255196,0.00957313571493
7.62965780442,1.06310077364,4.39350989981,0.884274155627,28,-1089.92750609,34,-1331.21272391,-500.0,-1522.13152972,0.0,1.48012842924,-507.629657804,-280.342448171,106.290003014,0.00765665115005
7.95628779774,1.05642819303,4.36593391671,0.909942338905,29,-1115.95385523,34,-1397.30214968,-500.0,-1550.4146915,0.0,1.47383212212,-507.956287798,-295.146583725,88.1243020692,0.00613055030145
