AverageReturn,MeanKLBefore,MinReturn,Entropy,StdReturn,NumTrajs,AverageDiscountedReturn,dLoss,MaxReturn,AveragePolicyStd,LossAfter,Perplexity,MeanKL,Iteration,LossBefore,ExplainedVariance
-1148.54849906,0.0,-1428.16761472,1.59521503565,84.8687238959,34,-252.08358526,14.010506899,-1016.81211357,1.19276781628,-514.010506899,4.92938895251,0.00711283892231,35,-500.0,0.903318680332
-1146.01770682,0.0,-1344.78477981,1.62092412283,110.969604465,34,-251.518771837,13.0025145613,-938.552170804,1.22383037213,-513.002514561,5.05776215101,0.00729083991035,36,-500.0,0.888818433854
-1136.69135535,0.0,-1316.75039522,1.63178085674,62.6985350437,34,-249.396340251,15.4027961371,-1027.40466937,1.23718956018,-515.402796137,5.11297208635,0.00692807307419,37,-500.0,0.923270312051
-1113.63370623,0.0,-1214.63694386,1.64739677007,45.8908718008,34,-244.252900856,18.3550637256,-998.665128911,1.25666104193,-518.355063726,5.19344248949,0.00787765775761,38,-500.0,0.94450527433
-1117.79816323,0.0,-1285.58051488,1.64467774981,48.4480776246,34,-243.46000634,17.6068312859,-1040.39436118,1.25324879619,-517.606831286,5.17934059453,0.00668343224159,39,-500.0,0.952033527703
-1127.28846347,0.0,-1297.77304771,1.65528348477,64.4992739655,34,-242.24563002,16.873482692,-1041.45946951,1.26661115432,-516.873482692,5.23456363092,0.00962849806376,40,-500.0,0.934770377772
-1106.20183085,0.0,-1340.98283348,1.68064693732,61.1376952292,34,-238.35927723,15.1614819039,-1000.07861057,1.29914766109,-515.161481904,5.3690282726,0.00687484916799,41,-500.0,0.933294715684
-1074.83735389,0.0,-1163.87976668,1.69993146945,43.0503713915,34,-234.721741454,13.3337348381,-1015.1395504,1.32444424835,-513.333734838,5.47357227195,0.00625081550748,42,-500.0,0.939807920807
-1083.00254107,0.0,-1273.11654552,1.69926401646,52.1881842996,34,-232.375809283,21.5808106565,-987.811888676,1.32356053903,-521.580810657,5.46992013873,0.00874701494941,43,-500.0,0.947361890571
-1078.97396136,0.0,-1210.62006145,1.6989997949,51.1826510979,34,-238.497286077,21.3479157974,-984.811177546,1.323210872,-521.347915797,5.46847505882,0.00689620161986,44,-500.0,0.93845452442
