MaxReturn,AverageReturn,Perplexity,LossBefore,Entropy,MinReturn,AveragePolicyStd,NumTrajs,dLoss,ExplainedVariance,Total cost,MeanKLBefore,StdReturn,LossAfter,AverageDiscountedReturn,Iteration,MeanKL
-193.254427371,-267.972238224,3.09659649082,-9.66092324494e-17,1.13030360216,-324.714323386,0.749285696427,104,0.848171738811,0.907610186158,299.0722078026863,0.0,32.8883705625,-0.848171738811,-173.928207284,10,0.00883365772837
-184.430416385,-246.252271335,3.02372000982,-1.22710880023e-16,1.10648786468,-321.41798858,0.731651721518,104,1.5564427735,0.88878984718,279.85424873489774,0.0,32.0730312044,-1.5564427735,-160.664039091,11,0.00676213283467
-183.186477,-247.468713236,2.93479785309,-1.47739145187e-16,1.07663857632,-336.518412102,0.71013516283,104,1.48820292276,0.89001057203,279.96288506890187,0.0,31.5254130476,-1.48820292276,-160.886286486,12,0.00823862798033
-175.648583652,-250.989357083,2.84704767163,-4.58653988038e-16,1.04628255267,-333.174589715,0.688902187845,104,0.0622217623322,0.904265437913,278.4389463595488,0.0,31.1547054923,-0.0622217623322,-162.623200611,13,0.00855757725648
-190.554848662,-257.26740202,2.80495568352,-2.27296427468e-17,1.03138773975,-316.152309884,0.678717158985,104,0.884825720891,0.902436328955,279.2392137844147,0.0,31.7085186899,-0.884825720891,-166.900894805,14,0.00505399156764
-193.781680207,-247.005085788,2.77589818713,-8.25679656953e-17,1.02097436587,-303.877354689,0.671686095531,104,0.279395384702,0.899473306384,269.0209346201909,0.0,29.7926613543,-0.279395384702,-160.09897708,15,0.00818051697431
-177.949671001,-255.234759508,2.68288758501,2.85068293454e-16,0.986893671574,-308.08703887,0.649180252747,104,0.144837969268,0.907158194869,274.30696219578516,0.0,30.3330051846,-0.144837969268,-165.151734069,16,0.00962737844151
-204.097503793,-275.045657767,2.64846617206,-2.34819631128e-16,0.973980669432,-332.246894693,0.640851278519,104,1.62105177665,0.926948886782,288.1167664431374,0.0,27.8094347149,-1.62105177665,-177.685489023,17,0.0075367068523
-170.815622355,-255.278358127,2.61014480054,1.06552119134e-16,0.959405698929,-316.330719412,0.631578628486,104,0.742507365451,0.887519247709,271.05938340205205,0.0,34.534504744,-0.742507365451,-166.209250544,18,0.00912909639758
-178.337434804,-248.488712158,2.58651771638,-7.86101583744e-16,0.950312459996,-312.100634176,0.625861565815,104,0.589120111028,0.882305172419,265.56891961205406,0.0,34.4171986583,-0.589120111028,-161.625689436,19,0.00709949706899
-177.168643035,-245.147949985,2.55246973234,1.82997193745e-16,0.937061412943,-310.335889159,0.617622950449,104,1.57989232171,0.897843585343,263.6345702174935,0.0,29.9861930504,-1.57989232171,-158.884619149,20,0.0063537442605
-159.195180571,-237.37202701,2.52614310453,5.30065631549e-16,0.926693674947,-308.476245496,0.611252677241,104,1.04454992713,0.868873991924,252.68972275694549,0.0,34.2144255014,-1.04454992713,-154.590877023,21,0.00713371552384
-162.827991556,-232.991383305,2.4550255162,7.72850815207e-16,0.898137154756,-311.071308572,0.594044302868,104,0.0902508777613,0.867320159329,248.37988297975335,0.0,34.0028092237,-0.0902508777613,-151.622459626,22,0.00898806492462
-157.751986364,-231.57814134,2.41919062656,5.76716952956e-16,0.883433032393,-302.877895823,0.585373308659,104,0.756285046555,0.872240187832,247.85669720960763,0.0,32.1596373843,-0.756285046555,-152.258557967,23,0.00554937447367
-151.855380353,-235.159478292,2.37788225366,2.41332983205e-16,0.86621028218,-310.860927338,0.575377891738,104,0.524188989577,0.864460571269,250.28623750263284,0.0,34.8085755462,-0.524188989577,-153.752821175,24,0.00837024460494
-168.793800515,-236.809857793,2.40989627341,-4.9195066339e-16,0.879583706499,-302.451645186,0.583124347294,104,1.0285250952,0.859270213437,250.76403974483947,0.0,36.5616021619,-1.0285250952,-154.47194541,25,0.00694090968223
-161.631486928,-241.681659903,2.35686865152,-1.90071556362e-16,0.857333895425,-301.676005056,0.570293215204,104,0.626508434019,0.863498865119,254.13968069797403,0.0,37.1242654774,-0.626508434019,-156.359082801,26,0.00689967356984
