MeanKLBefore,AveragePolicyStd,LossAfter,Iteration,Entropy,dLoss,ExplainedVariance,MaxReturn,Total cost,StdReturn,AverageReturn,NumTrajs,AverageDiscountedReturn,MeanKL,LossBefore,MinReturn,Perplexity
0.0,1.0057464955,-1444649.33419,10,1.42466858058,22375.6700785,0.894049758277,-163.6729304,241.6817001066317,28.8697935353,-232.779144221,204,-151.210702633,0.00891989750719,-1422273.66411,-308.436134683,4.15648007623
0.0,0.997818859398,-1098749.06114,11,1.41675501045,14841.3818868,0.898607537561,-151.056205106,236.23726113323445,22.515293213,-225.007658333,204,-145.256561141,0.00680281334478,-1083907.67926,-285.875948465,4.12371728597
0.0,1.00858173446,-1002664.97007,12,1.42748365391,21036.6434564,0.913223910436,-171.386748771,235.9232762906904,21.1081850033,-223.819384074,204,-145.011076842,0.00959454608725,-981628.326614,-278.277649161,4.1681973572
0.0,1.0146795401,-1362138.84777,13,1.43351137181,18401.0669099,0.920296124902,-175.107859963,236.45617987345835,19.879417482,-224.129536225,204,-144.807373574,0.00828686292449,-1343737.78086,-295.512860313,4.19339794977
0.0,1.00182048296,-965582.388808,14,1.42075736109,18747.7220051,0.929504930966,-159.795701097,235.9465142599903,18.0623743944,-222.660984237,204,-144.025094185,0.00728314840604,-946834.666803,-280.466487987,4.14025492113
0.0,0.994290146303,-1134026.13992,15,1.41321231597,23962.6018102,0.901341316793,-159.751332449,233.93819176828868,21.843589127,-221.341471131,204,-143.558597718,0.00885232055961,-1110063.53811,-280.595184278,4.10913406272
0.0,0.970130362833,-1179505.67605,16,1.38861371136,21327.5091142,0.889910745229,-155.589445333,229.29681529598696,22.9792599434,-215.887978605,204,-140.478700075,0.00820743181371,-1158178.16694,-277.0573871,4.00928816807
0.0,0.966895239935,-1587647.55988,17,1.38527340868,19869.8773208,0.870071849565,-151.224930433,219.98271140816843,24.4446819847,-207.662797501,204,-136.389431096,0.00826082986498,-1567777.68256,-287.77224519,3.99591827423
0.0,0.959062778257,-1508188.03556,18,1.37713978917,17076.6489978,0.866685470612,-156.044568905,221.71771365294043,26.0191889709,-208.695709191,204,-137.432144315,0.00657006306987,-1491111.38657,-286.532054526,3.96354881427
0.0,0.946836510975,-1487955.18895,19,1.36430969362,24013.7938409,0.84967759846,-145.134142015,214.0889214066652,27.4830344362,-200.782188966,204,-132.559269862,0.0098649863917,-1463941.39511,-269.199108708,3.91302093613
0.0,0.937432271481,-1117214.02133,20,1.3543277657,25333.8409383,0.836092900992,-123.946117746,207.87092628811155,26.5584713862,-192.776600158,204,-126.957611756,0.00933768621846,-1091880.18039,-250.232299789,3.87415574072
0.0,0.932630451404,-1475324.22427,21,1.34919229022,16408.0025608,0.831986654755,-118.464430767,203.1894532358717,27.5834246094,-190.949601189,204,-126.880956722,0.00710225319309,-1458916.22171,-265.240397816,3.85431110833
0.0,0.929479485789,-1615125.86748,22,1.34580799098,17064.0611233,0.809159658059,-123.753838334,202.85855779974042,29.8714589754,-189.206680799,204,-125.86132264,0.00657817414214,-1598061.80636,-271.387871032,3.84128901394
0.0,0.924807937064,-1681294.51574,23,1.34076933457,19874.0963995,0.821891204273,-120.013181052,198.18368492566617,26.8166469316,-183.526603673,204,-122.252579899,0.00841441736875,-1661420.41934,-267.964275558,3.82198275805
0.0,0.907790271697,-1420511.46393,24,1.32219662784,19648.9459579,0.785950821828,-111.908022178,190.99199686364838,29.6381639534,-173.212754634,204,-115.663698366,0.00750796107651,-1400862.51798,-247.673335235,3.75165331881
0.0,0.896835624921,-1645856.31348,25,1.31005584968,20786.768365,0.806224719474,-97.8616057306,189.07617404138804,27.9125875459,-169.070221231,204,-113.537724971,0.00969245217432,-1625069.54511,-254.249216764,3.7063807066
0.0,0.886048539577,-1775760.64504,26,1.2979549884,19556.4477388,0.815499591279,-110.88106839,193.82831345864923,27.5368514255,-172.021373182,204,-114.640774107,0.00784685011923,-1756204.1973,-250.259555335,3.66180058078
0.0,0.879749525991,-1496772.3654,27,1.29082049162,16856.864831,0.821745317374,-113.156380549,177.22761600323673,21.369892658,-155.371933199,204,-106.799860388,0.00717045987487,-1479915.50057,-230.630520006,3.63576844984
