Iteration,LossBefore,Total cost,AverageDiscountedReturn,LossAfter,StdReturn,AverageReturn,MaxReturn,NumTrajs,MeanKLBefore,MeanKL,Entropy,ExplainedVariance,AveragePolicyStd,MinReturn,dLoss,Perplexity
10,4.78970751949e-09,257.8988392732394,-164.309267519,-42935.6530067,29.8390858082,-251.230168209,-170.804385534,204,0.0,0.00849769375978,1.43693005336,0.901210207807,1.01815434256,-325.068376547,42935.6530067,4.20775837485
11,4.67019756201e-09,254.98604174730238,-161.994235247,-38532.8170869,30.6751262961,-247.921634449,-158.630987488,204,0.0,0.00720296623234,1.46183366954,0.897501011608,1.04382842944,-325.502469305,38532.8170869,4.31386247865
12,-6.44211906042e-09,250.35818738117956,-158.67227305,-31816.1793843,28.8955122768,-243.465869563,-172.814821393,204,0.0,0.00676327175912,1.46518656209,0.898397290568,1.04733414786,-312.703868287,31816.1793843,4.32835067111
13,-6.12820905133e-10,248.90708164815612,-158.472349976,-35078.6021123,33.8517966844,-242.323295175,-168.284241934,204,0.0,0.00732621151472,1.46384307759,0.87836267855,1.04592801544,-325.390338687,35078.6021123,4.32253950358
14,7.63923369007e-09,240.39814545696913,-151.764769534,-32299.0138314,29.1078273336,-231.823011284,-156.42667726,204,0.0,0.00697167052519,1.45865237001,0.880349836984,1.04051297507,-301.817114003,32299.0138314,4.30016059643
15,5.31513166813e-09,242.35717530474358,-152.000129143,-29555.9352582,27.8271911054,-232.561851794,-166.511575828,204,0.0,0.00599914562888,1.45359039712,0.893078869746,1.03525923496,-305.896493478,29555.9352582,4.27844829996
16,3.77523567963e-09,241.33570578214668,-151.16943236,-34859.6287154,26.2060192597,-231.516267086,-161.583990132,204,0.0,0.0061696745339,1.44452486034,0.897110325488,1.02591646688,-290.909262257,34859.6287154,4.23983714938
17,9.91813298157e-09,243.14231271511437,-152.608038081,-38144.7772017,30.2987304917,-232.783073971,-168.905627382,203,0.0,0.00732720156158,1.43121632491,0.885827344203,1.0123534732,-304.535954535,38144.7772017,4.18378494017
18,-2.17825757431e-11,238.4492997867949,-148.687550734,-45577.8212339,25.5010025242,-227.447912974,-171.446750972,204,0.0,0.00719951294046,1.4251016508,0.894781071681,1.00618214869,-297.562439524,45577.8212339,4.15828051383
19,2.64677169071e-09,238.27697669681393,-148.072570399,-48763.5913974,23.6548993678,-226.359695275,-163.213257923,204,0.0,0.00750264980003,1.42423621985,0.901218067767,1.0053117442,-281.997741364,48763.5913974,4.15468336591
20,-4.78621586808e-09,240.69658268266107,-150.06416679,-41947.8896365,24.6817290662,-229.304413264,-170.938055467,204,0.0,0.00641390921125,1.41984172793,0.897455736811,1.00090360273,-307.197282116,41947.8896365,4.13646570144
21,-3.13222468795e-09,242.0235863199262,-150.672771305,-36531.637102,27.3264288953,-231.150874103,-155.119471692,204,0.0,0.00721244794555,1.40861114082,0.892046676846,0.989725752026,-303.309395088,36531.637102,4.09027064738
22,-1.04904973597e-09,248.16506551337932,-155.23522179,-37450.9995336,31.1162948965,-238.086678819,-172.53396938,204,0.0,0.00786453616586,1.41714546645,0.877647961921,0.998208539828,-315.313172214,37450.9995336,4.1253277305
23,1.13819786929e-09,242.2162384821947,-151.511244492,-44909.4612649,28.0037721336,-232.139439618,-163.619727146,204,0.0,0.00798639125819,1.39529890563,0.886533630308,0.976637599609,-311.412603215,44909.4612649,4.03618082952
24,1.43836054178e-09,240.37342592061043,-151.096669004,-31030.697621,32.3775507171,-231.502755196,-151.113616544,204,0.0,0.00689800475059,1.37123826158,0.871989909823,0.953419511137,-304.870816148,31030.697621,3.94022670731
25,2.08082440167e-09,242.33885023395302,-151.628038176,-39530.2421466,31.274533596,-232.357567892,-147.967419454,204,0.0,0.00819469067692,1.34598509689,0.877430405701,0.92964411667,-299.159562653,39530.2421466,3.84196938914
26,-3.98821808911e-09,241.29622721892818,-151.356136668,-42471.5906406,34.1205150781,-230.557000715,-149.403748076,204,0.0,0.0099319111777,1.35324411612,0.86703836666,0.936416973605,-301.259326774,42471.5906406,3.86995978735
