AverageDiscountedReturn,LossAfter,MinReturn,LossBefore,Iteration,MeanKL,ExplainedVariance,Total cost,MaxReturn,MeanKLBefore,dLoss,AverageReturn,AveragePolicyStd,NumTrajs,Perplexity,Entropy,StdReturn
-170.723602404,-0.195931626635,-331.213820827,-2.58829945264e-16,10,0.00488359120469,0.914883755697,308.60095602748316,-194.686072664,0.0,0.195931626635,-260.923919254,0.82721618419,104,3.41866226104,1.22924932281,29.1420913101
-166.897062547,-0.0346473090191,-337.708507006,2.86087220452e-17,11,0.00491187534972,0.895932309937,300.47068268844447,-190.666638058,0.0,0.0346473090191,-256.187529726,0.803837762831,104,3.32204552608,1.20058071552,33.510002075
-170.29253706,-0.131601849301,-330.623624559,-2.0453329671e-16,12,0.00273795730294,0.910525131725,300.87455750991074,-197.101628981,0.0,0.131601849301,-262.300129989,0.785906393871,104,3.24793999536,1.17802094779,31.8662528148
-167.138315418,-0.0716747014353,-337.459338692,1.17472741622e-17,13,0.00479522401522,0.901410115879,293.95059037130443,-182.927036151,0.0,0.0716747014353,-255.366743213,0.782491742311,103,3.23382815779,1.17366662362,31.2282994531
-165.874782501,-0.0829213020213,-324.292365571,3.38686516398e-17,14,0.006566785829,0.893615594354,293.3261639511429,-175.54836415,0.0,0.0829213020213,-254.03924306,0.791865257358,104,3.27256637732,1.18557450197,31.8182285757
-170.621729326,-0.0744559580266,-350.664765268,-1.28771594016e-16,15,0.00750854549271,0.904840338308,296.603902059813,-185.062671665,0.0,0.0744559580266,-260.999746178,0.777561512085,104,3.21345284075,1.16734601037,31.4632303148
-170.421356788,-0.129261646212,-331.219369648,-1.74662693887e-16,16,0.00325387010031,0.890190166127,294.03425024242455,-167.447011268,0.0,0.129261646212,-261.011922669,0.758932451588,104,3.13646393834,1.14309603107,37.3946945527
-172.113829478,-0.0410116516561,-368.702915509,-2.80842214324e-16,17,0.00235952392801,0.903454154013,294.5652370573161,-185.724272548,0.0,0.0410116516561,-263.697463586,0.743591911058,104,3.0730656055,1.12267563193,33.5769826115
-175.432917092,-0.0447024409631,-334.499613485,-1.45655368247e-16,18,0.00651331682957,0.92372000481,299.3005479885923,-189.283109708,0.0,0.0447024409631,-269.056773684,0.740731375464,104,3.06124378036,1.11882129755,30.1431357659
-170.445114674,-0.225657253235,-335.551422214,-6.05666482518e-17,19,0.00629029559795,0.919756552136,294.5693204075368,-188.488984535,0.0,0.225657253235,-262.720257636,0.726569345863,104,3.00271591659,1.09951718466,29.7075405456
-165.029239469,-0.208911216955,-316.574115932,-5.06048405139e-17,20,0.00591297383568,0.914309345428,283.9164885096593,-178.705501163,0.0,0.208911216955,-254.399141819,0.719971512956,104,2.97544884567,1.09039490011,28.5571790755
-160.663838006,-0.250656902858,-307.265915551,1.84520160267e-17,21,0.0073820489424,0.904799821768,275.10677054951566,-187.781005962,0.0,0.250656902858,-247.973914114,0.700046294779,104,2.89310327177,1.06232972248,29.4910550662
-154.378903377,-0.0163616717011,-313.973392093,1.56696402892e-16,22,0.00766109727397,0.899869137175,269.3059537030116,-184.972768454,0.0,0.0163616717011,-237.633337676,0.692871675712,104,2.8634524986,1.05202806413,25.9726497538
-152.711170926,-0.143503871492,-313.785421697,3.35419933255e-16,23,0.00415929740274,0.908487790712,264.4722139063435,-179.230680773,0.0,0.143503871492,-235.378577005,0.680356086232,104,2.81172892954,1.03379957156,25.8805371632
-151.792781279,-0.0333816763072,-297.148001877,-9.54128089926e-17,24,0.00503620351565,0.895651859131,263.5451377049608,-182.102836001,0.0,0.0333816763072,-233.765090231,0.68126248688,104,2.81547483992,1.0351309294,27.091673683
-147.296476931,-0.106692512732,-283.927689153,3.52624401977e-16,25,0.0034397347075,0.908854874975,253.99911397987213,-184.205655609,0.0,0.106692512732,-225.477678644,0.667560651915,104,2.75884883695,1.01481350466,23.4649366068
-146.708315498,-0.0154539271452,-286.325516703,2.93862244357e-18,26,0.00613972947049,0.909326184368,252.1524234298484,-179.029569392,0.0,0.0154539271452,-225.543709565,0.655716382964,104,2.70989965529,0.996911606637,22.2810901457
